review_time_s,available_time_s,available_time_h,success,reviewed_assets,accepted_assets
10,101829,28,0.01,10182,101
10,403525,112,0.01,40352,403
10,491026,136,0.01,49102,491
10,37635,10,0.01,3763,37
10,70052,19,0.01,7005,70
10,68756,19,0.01,6875,68
10,59560,16,0.01,5956,59
10,41322,11,0.01,4132,41
10,36591,10,0.01,3659,36
10,117313,32,0.01,11731,117
10,119458,33,0.01,11945,119
10,91698,25,0.01,9169,91
10,10680,2,0.01,1068,10
10,25196,6,0.01,2519,25
10,140907,39,0.01,14090,140
10,126964,35,0.01,12696,126
10,122811,34,0.01,12281,122
10,66295,18,0.01,6629,66
10,80409,22,0.01,8040,80
10,9795,2,0.01,979,9
10,880373,244,0.01,88037,880
10,88524,24,0.01,8852,88
10,138823,38,0.01,13882,138
10,2723,0,0.01,272,2
10,87696,24,0.01,8769,87
10,48571,13,0.01,4857,48
10,87565,24,0.01,8756,87
10,2045,0,0.01,204,2
10,25822,7,0.01,2582,25
10,53286,14,0.01,5328,53
10,54624,15,0.01,5462,54
10,62686,17,0.01,6268,62
10,114579,31,0.01,11457,114
10,66811,18,0.01,6681,66
10,113724,31,0.01,11372,113
10,11703,3,0.01,1170,11
10,965,0,0.01,96,0
10,123984,34,0.01,12398,123
10,84404,23,0.01,8440,84
10,3123,0,0.01,312,3
10,32398,8,0.01,3239,32
10,120783,33,0.01,12078,120
10,141654,39,0.01,14165,141
10,142589,39,0.01,14258,142
10,70197,19,0.01,7019,70
10,29035,8,0.01,2903,29
10,113246,31,0.01,11324,113
10,27843,7,0.01,2784,27
10,127872,35,0.01,12787,127
10,65855,18,0.01,6585,65
10,638554,177,0.01,63855,638
10,377060,104,0.01,37706,377
10,143991,39,0.01,14399,143
10,21731,6,0.01,2173,21
10,14890,4,0.01,1489,14
10,27222,7,0.01,2722,27
10,126958,35,0.01,12695,126
10,25184,6,0.01,2518,25
10,17325,4,0.01,1732,17
10,92334,25,0.01,9233,92
10,141220,39,0.01,14122,141
10,57861,16,0.01,5786,57
10,103517,28,0.01,10351,103
10,103547,28,0.01,10354,103
10,121623,33,0.01,12162,121
10,368043,102,0.01,36804,368
10,136410,37,0.01,13641,136
10,132419,36,0.01,13241,132
10,101669,28,0.01,10166,101
10,88911,24,0.01,8891,88
10,32361,8,0.01,3236,32
10,80842,22,0.01,8084,80
10,40694,11,0.01,4069,40
10,930915,258,0.01,93091,930
10,90754,25,0.01,9075,90
10,17715,4,0.01,1771,17
10,18419,5,0.01,1841,18
10,117866,32,0.01,11786,117
10,138755,38,0.01,13875,138
10,30498,8,0.01,3049,30
10,38458,10,0.01,3845,38
10,121508,33,0.01,12150,121
10,70501,19,0.01,7050,70
10,51316,14,0.01,5131,51
10,77541,21,0.01,7754,77
10,42070,11,0.01,4207,42
10,926339,257,0.01,92633,926
10,150540,41,0.01,15054,150
10,63002,17,0.01,6300,63
10,23483,6,0.01,2348,23
10,23255,6,0.01,2325,23
10,72272,20,0.01,7227,72
10,123847,34,0.01,12384,123
10,43498,12,0.01,4349,43
10,22055,6,0.01,2205,22
10,53210,14,0.01,5321,53
10,29413,8,0.01,2941,29
10,72451,20,0.01,7245,72
10,70066,19,0.01,7006,70
10,974437,270,0.01,97443,974
10,21178,5,0.01,2117,21
10,98134,27,0.01,9813,98
10,32663,9,0.01,3266,32
10,2728,0,0.01,272,2
10,62557,17,0.01,6255,62
10,108303,30,0.01,10830,108
10,37186,10,0.01,3718,37
10,85125,23,0.01,8512,85
10,45751,12,0.01,4575,45
10,92457,25,0.01,9245,92
10,138635,38,0.01,13863,138
10,19404,5,0.01,1940,19
10,124033,34,0.01,12403,124
10,54019,15,0.01,5401,54
10,22600,6,0.01,2260,22
10,78213,21,0.01,7821,78
10,20647,5,0.01,2064,20
10,83799,23,0.01,8379,83
10,58884,16,0.01,5888,58
10,230762,64,0.01,23076,230
10,216321,60,0.01,21632,216
10,96836,26,0.01,9683,96
10,2582,0,0.01,258,2
10,32266,8,0.01,3226,32
10,78955,21,0.01,7895,78
10,513411,142,0.01,51341,513
10,31157,8,0.01,3115,31
10,63922,17,0.01,6392,63
10,766206,212,0.01,76620,766
10,89967,24,0.01,8996,89
10,143738,39,0.01,14373,143
10,141614,39,0.01,14161,141
10,44441,12,0.01,4444,44
10,77649,21,0.01,7764,77
10,51484,14,0.01,5148,51
10,38362,10,0.01,3836,38
10,466593,129,0.01,46659,466
10,114518,31,0.01,11451,114
10,873864,242,0.01,87386,873
10,107625,29,0.01,10762,107
10,14004,3,0.01,1400,14
10,17649,4,0.01,1764,17
10,31729,8,0.01,3172,31
10,540697,150,0.01,54069,540
10,101188,28,0.01,10118,101
10,79970,22,0.01,7997,79
10,100522,27,0.01,10052,100
10,87666,24,0.01,8766,87
10,14015,3,0.01,1401,14
10,74559,20,0.01,7455,74
10,11845,3,0.01,1184,11
10,19759,5,0.01,1975,19
10,15538,4,0.01,1553,15
10,403566,112,0.01,40356,403
10,51953,14,0.01,5195,51
10,90424,25,0.01,9042,90
10,91454,25,0.01,9145,91
10,15023,4,0.01,1502,15
10,29255,8,0.01,2925,29
10,106676,29,0.01,10667,106
10,39516,10,0.01,3951,39
10,44786,12,0.01,4478,44
10,38201,10,0.01,3820,38
10,74414,20,0.01,7441,74
10,91406,25,0.01,9140,91
10,80243,22,0.01,8024,80
10,134155,37,0.01,13415,134
10,4325,1,0.01,432,4
10,704068,195,0.01,70406,704
10,32336,8,0.01,3233,32
10,60380,16,0.01,6038,60
10,50260,13,0.01,5026,50
10,88374,24,0.01,8837,88
10,72673,20,0.01,7267,72
10,69400,19,0.01,6940,69
10,45384,12,0.01,4538,45
10,54752,15,0.01,5475,54
10,143142,39,0.01,14314,143
10,94309,26,0.01,9430,94
10,24602,6,0.01,2460,24
10,105218,29,0.01,10521,105
10,118909,33,0.01,11890,118
10,68128,18,0.01,6812,68
10,38782,10,0.01,3878,38
10,5572,1,0.01,557,5
10,44601,12,0.01,4460,44
10,40571,11,0.01,4057,40
10,31563,8,0.01,3156,31
10,66770,18,0.01,6677,66
10,86409,24,0.01,8640,86
10,398292,110,0.01,39829,398
10,77457,21,0.01,7745,77
10,687921,191,0.01,68792,687
10,76519,21,0.01,7651,76
10,116881,32,0.01,11688,116
10,94344,26,0.01,9434,94
10,36263,10,0.01,3626,36
10,122117,33,0.01,12211,122
10,130896,36,0.01,13089,130
10,111982,31,0.01,11198,111
10,76747,21,0.01,7674,76
10,129519,35,0.01,12951,129
10,63824,17,0.01,6382,63
10,51101,14,0.01,5110,51
10,4960,1,0.01,496,4
10,90886,25,0.01,9088,90
10,1876,0,0.01,187,1
10,117626,32,0.01,11762,117
10,93718,26,0.01,9371,93
10,26045,7,0.01,2604,26
10,99700,27,0.01,9970,99
10,97565,27,0.01,9756,97
10,103121,28,0.01,10312,103
10,863576,239,0.01,86357,863
10,45378,12,0.01,4537,45
10,74354,20,0.01,7435,74
10,55314,15,0.01,5531,55
10,95805,26,0.01,9580,95
10,105485,29,0.01,10548,105
10,136133,37,0.01,13613,136
10,24127,6,0.01,2412,24
10,104128,28,0.01,10412,104
10,75372,20,0.01,7537,75
10,57307,15,0.01,5730,57
10,125321,34,0.01,12532,125
10,549012,152,0.01,54901,549
10,210142,58,0.01,21014,210
10,13155,3,0.01,1315,13
10,25136,6,0.01,2513,25
10,375256,104,0.01,37525,375
10,139890,38,0.01,13989,139
10,75996,21,0.01,7599,75
10,38370,10,0.01,3837,38
10,40940,11,0.01,4094,40
10,111719,31,0.01,11171,111
10,67518,18,0.01,6751,67
10,22346,6,0.01,2234,22
10,44047,12,0.01,4404,44
10,118769,32,0.01,11876,118
10,182099,50,0.01,18209,182
10,81297,22,0.01,8129,81
10,16039,4,0.01,1603,16
